,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type_x,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,property_type,room_type_y,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,LSOA11CD
1685,743308729529994727,Cottage in Brislington · ★4.92 · 2 bedrooms · 3 beds · 1 bath,469281729,Nita,,Brislington East,51.4315998,-2.5280165,Entire home/apt,,1,12,2023-09-24,1.08,1,0,12,,Entire cottage,Entire home/apt,4,,1 bath,,3.0,[],E01014526
1686,743898515021094973,Home in Brislington · ★4.80 · 3 bedrooms · 4 beds · 1.5 baths,30628167,Rebecca,,Brislington East,51.43678020000001,-2.5508728,Entire home/apt,104.0,2,5,2023-08-30,0.41,1,261,5,,Entire home,Entire home/apt,6,,1.5 baths,,4.0,[],E01014525
1687,744637909279195636,Townhouse in Totterdown · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,484859134,Simon,,Windmill Hill,51.44127,-2.57466,Entire home/apt,,2,7,2023-01-29,0.53,1,0,4,,Entire townhouse,Entire home/apt,6,,2.5 baths,,3.0,[],E01014730
1688,744810025060675965,Home in Totterdown · ★4.88 · 2 bedrooms · 3 beds · 1 bath,356104035,Ben,,Windmill Hill,51.4421018,-2.5825262,Entire home/apt,116.0,2,52,2023-12-12,4.3,1,65,52,,Entire home,Entire home/apt,6,,1 bath,,3.0,[],E01014731
1689,745460679026603052,Treehouse in Saint Paul's · ★4.89 · 1 bedroom · 1 bed · 1 bath,485025662,Suzanne,,Ashley,51.46162227709812,-2.5887439195739703,Entire home/apt,105.0,2,38,2023-12-10,3.18,2,174,38,,Treehouse,Entire home/apt,2,,1 bath,,1.0,[],E01033347
1690,745484221393640724,Treehouse in Saint Paul's · ★4.83 · 1 bedroom · 1 bed · 1 bath,485025662,Suzanne,,Ashley,51.46164233053396,-2.588722461901851,Entire home/apt,84.0,2,39,2023-12-17,2.82,2,0,34,,Treehouse,Entire home/apt,2,,1 bath,,1.0,[],E01033347
1691,745506754776202351,casa particular in South Gloucestershire · ★4.95 · 1 bedroom · 2 beds · 1.5 shared baths,217874521,Sue,,Frome Vale,51.48305,-2.51611,Private room,61.0,1,58,2023-12-08,4.14,1,308,52,,Private room in casa particular,Private room,2,,1.5 shared baths,,2.0,[],E01014591
1692,745555624484013121,Condo in Clifton · ★5.0 · 2 bedrooms · 2 beds · 1 bath,477821759,James,,Clifton Down,51.46519,-2.61633,Entire home/apt,95.0,6,3,2023-04-20,0.26,1,267,3,,Entire condo,Entire home/apt,4,,1 bath,,2.0,[],E01014556
1693,745695928028622003,Rental unit in Saint Paul's · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,101267565,Aneta,,Ashley,51.46491,-2.58714,Private room,42.0,1,29,2023-11-11,2.89,9,354,29,,Private room in rental unit,Private room,2,,1 shared bath,,1.0,[],E01014489
1694,746056370605643501,Condo in Bristol City · ★4.81 · 2 bedrooms · 2 beds · 1 bath,8185082,Roxy,,Central,51.45604359425612,-2.597667626983644,Entire home/apt,139.0,1,72,2023-12-08,5.23,2,8,66,,Entire condo,Entire home/apt,4,,1 bath,,2.0,[],E01014542
1695,746879755563983085,Condo in Saint Paul's · ★4.39 · 1 bedroom · 1 bed · 1 bath,410588887,Louise,,Ashley,51.46074,-2.58547,Entire home/apt,88.0,2,18,2023-12-03,1.31,14,353,14,,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],E01033347
1696,746890167347042669,Condo in Saint Paul's · ★4.23 · 1 bedroom · 1 bed · 1 bath,410588887,Louise,,Ashley,51.46081,-2.5863,Entire home/apt,88.0,2,26,2023-12-10,1.89,14,358,17,,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],E01033347
1697,747730789402433471,Home in Horfield · 1 bedroom · 1 bed · 1 shared bath,432626632,Callum,,Horfield,51.49939,-2.57148,Private room,40.0,6,2,2022-12-04,0.15,1,365,0,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014630
1698,748560161650741032,Home in Bristol City · ★4.88 · 3 bedrooms · 3 beds · 1 bath,84865356,Lesley,,Lawrence Hill,51.45186,-2.57614,Entire home/apt,141.0,2,83,2023-12-20,6.37,1,81,77,,Entire home,Entire home/apt,5,,1 bath,,3.0,[],E01033352
1699,748900321811127006,Home in Stoke Bishop · 4 bedrooms · 4 beds · 3 baths,130398035,Tammy,,Stoke Bishop,51.47475,-2.63973,Entire home/apt,700.0,2,1,2023-12-15,1.0,1,365,1,,Entire home,Entire home/apt,8,,3 baths,,4.0,[],E01014709
